Restaurant,Address,Status,Timings,Contact,Dish Name,Price
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Kandi Appadalu [180 grams],₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Vamu Appadalu [180 grams],₹150
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Nuvvu Appadalu [180 grams],₹130
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Jeelakarra Appadalu [180 grams],₹130
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Pesara Appadalu [180 grams],₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Pesara Vadiyalu [250 g],₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Aaviri Vadiyalu [250 grams],₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Jeera Vadiyalu [250 g],₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Jeera Appadalu [180 g],₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Karam Appadalu [180 g],₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Podi and Dry Powders,₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Kandi Podi [100 grams],₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Karivepaku Podi [100 grams],₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Kakarakaya Podi [100 grams],₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Nalla Karam Podi [100 grams],₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Pallila Podi [100 grams],₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Nuvvula Podi [100 grams],₹65
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Pudina Podi [100 grams],₹115
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Menthu Aaku Podi [100 grams],₹115
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Avisa Karam Podi [100 grams],₹115
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Sambar Podi [100 grams],₹115
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Savouries,₹115
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Dahi Vada [2 Vada],₹130
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Cornflake Mixture [250 grams],₹115
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Jantikalu [250 grams],₹115
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Pappu Chakodi [250 grams],₹165
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Dal Mudi Mixture [250 g],₹165
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Lavu Karapusa [250 g],₹165
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Regi Vadiyalu [400 grams],₹165
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Aloo Mixture [250 g],₹165
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Special Mixture [250 g],₹165
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Pickles,₹165
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Avakaya [250 grams],₹165
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Magaya [250 grams],₹165
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Gongura [250 grams],₹155
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Nimmakaya [250 grams],₹200
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Dabbakaya [250 grams],₹155
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Allam [250 grams],₹165
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Tomato [250 grams],₹260
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Usirikaya [250 grams],₹150
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Pandumirchi [250 grams],₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Teepi Avakai [250 grams],₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Panasa Pottu Avakaya [250 grams],₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Karivepaku [250 Grams],₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Mamidi Allam [200 grams],₹130
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Ghee [250 grams],₹200
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Sweets,₹205
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Pootharekulu Box [5 Pieces],₹165
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Junnu Box,₹320
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Rava Laddu [5 Pieces],₹165
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Sunnundalu[5 piece],₹320
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Peanut Chikki Balls [200 grams],₹65
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Nuvvu Pappu Chikki Balls [200 grams],₹65
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Kakinada Gottam Kaja [500 grams],₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Madugula Halwa [250 grams],₹200
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Kalakand [250 grams],₹230
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Kalakand [500 grams],₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Palakova [250 grams],₹100
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Palakova [500 grams],₹33
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Bellam Mur Mur,₹115
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Mysore Pak [5 Pieces],₹150
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Mysore Pak [250 grams],₹65
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Mysore Pak [500 grams],₹110
Subbayya Gari Hotel,"47-3-12, 5th Lane, Dondaparithy, Vizag",Open now,8am – 10pm (Today),+919100416678,Dry Fruit Laddu [250 Grams],₹110
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,High SKU Pack,₹349
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Kabab Roll ( Pack of 5 ),₹449
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Biryani [Pack of 5],₹499
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Chowmein ( Pack of 5),₹499
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Fried Rice with Veg Manchurian ( Pack of 5 ),₹499
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Fried Rice ( Pack of 5 ),₹499
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Noodles with Veg Manchurian ( Pack of 5 ),₹129
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Combos,₹129
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Biryani Combo,₹149
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Kabab Roll Combo,₹155
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Fried Rice Combo,₹155
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Chowmein Combo,₹155
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Pav Bhaji [2 Pav] Combo,₹149
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Kabab Paratha Combo,₹155
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Steamed Momos [10 Pieces] Combo,₹155
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Kabab Paneer Role Combo,₹189
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Zingy Parcel Combo,₹199
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Chilli Paneer Combo,₹199
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Chilli Potato Combo,₹199
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Spring Roll Combo,₹199
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Manchurian Combo,₹199
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Sandwich Combo,₹219
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Corn Sandwich Combo,₹219
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Paneer Sandwich Combo,₹239
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Cheese Paneer Sandwich Combo,₹170
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Paneer Steamed Momos [10 Pieces] Combo,₹189
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Onion Pizza [7 inches] with Coke Soft Beverage [250 ml],₹189
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Corn Pizza Combo,₹189
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Onion Pizza Combo,₹189
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Paneer Pizza Combo,₹189
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Margherita Pizza [7 inches] Combo,₹189
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Pa Ji Special Pizza [7 inches],₹199
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Spicy Pizza [7 inches] Combo,₹209
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Onion Paneer Pizza [7 inches] Combo,₹299
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Pizza Treat Combo,₹220
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Single Topping Pizza,₹220
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Pizza with Garlic Bread Combo,₹229
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Paneer Makhani Pizza Combo,₹240
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,White Sauce Pizza Combo,₹250
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Pizza Pasta Combo,₹250
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Tandoori Paneer Pizza [7 inches] with Pepsi Soft Beverage [250 ml],₹250
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Double Cheese Pizza [7 inches] with Pepsi Soft Beverage [250 ml],₹299
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Spicy Loaded Pizza [7 inches] with Pepsi Soft Beverage [250 ml],₹299
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,2 Pizza Combo,₹320
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Corn & Paneer Pizza Combo,₹330
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Double Topping Pizza Combo,₹330
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,3 Single Topping Pizza Combo,₹350
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Single Topping Combo [Serves 4],₹350
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Farm Fresh Pizza [10 inches] with Pepsi Soft Beverage [250 ml],₹359
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Classic Cheese Pizza Combo [Serves 3],₹380
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Double Topping Combo [Serves 4],₹450
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,4 Special Pizza Combo,₹799
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Olive Special Pizza Combo,₹399
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Pizza Combo [Pack of 8],₹129
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Chinese Combo,₹129
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Chinese Combos,₹139
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Biryani with Veg Kebab Roll,₹139
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Burger with Sauce and Pepsi [250 ml],₹139
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Spring Roll Meals,₹150
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Special Pav Bhaji with Cold Beverage [250 ml],₹155
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Kabab Paratha with Cold Beverage [250 ml],₹155
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Chilli Potato with Veg Momos [10 Pieces],₹175
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Paneer Fried Rice with Cold Beverage [250 ml],₹209
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Momos [10 Pieces] with Paneer Momos [10 Pieces],₹139
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Momos Gravy with Paneer Momos Gravy [10 Pieces],₹175
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Chilli Paneer with Veg Chowmein,₹55
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Starters,₹185
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Manchurian Dry,₹85
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Paneer Manchurian,₹105
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Kebab,₹120
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Chilli Paneer Dry,₹145
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Rolls,₹185
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Kabab Roll,₹110
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Kabab Paneer Roll,₹55
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Paneer Roll,₹55
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Main Course,₹150
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Manchurian Gravy,₹110
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Chilli Paneer Gravy,₹140
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Kabab Paratha,₹199
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Kabab Paratha,₹130
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Paratha,₹120
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Pocket Parcel [1 Piece],₹145
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Zingy Parcel [4 Pieces],₹150
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Biryani,₹155
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Biryani,₹110
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Kabab Biryani,₹155
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Fried Rice and Noodles,₹135
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Fried Rice with Veg Manchurian,₹110
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Paneer Chowmein,₹120
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Fried Rice & Chowmein,₹120
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Fried Rice,₹130
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Manchurian Fried Rice,₹90
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Paneer Fried Rice,₹90
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Chilli Paneer Fried Rice,₹90
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Veg Chowmein,₹99
Pa Ji Family Restro,"85/355, Saina Purwa, Rai Purwa, Kanpur",Open now,11am – 11pm (Today),+919369609860,Chilli Paneer Mixed Chowmein,₹110
